やぼったい,ヤボッタイ
土塊,ドカイ
雄渾,ユウコン
随想,ズイソウ
積り,ツモリ
アクアマリン,アクアマリン
樽俎,ソンソ
ボタンバケ,ボタンバケ
辰,タツ
黒内障,クロソコヒ
黒内障,コクナイショウ
割前,ワリマエ
香味,コウミ
渺々,ビョウビョウ
恐妻,キョウサイ
割り勘,ワリカン
やんま,ヤンマ
さじき,サジキ
左団扇,ヒダリウチワ
朝飯前,アサメシマエ
しめすへん,シメスヘン
岩畳,イワダタミ
トレラント,トレラント
賃借り,チンガリ
ぱくり,パクリ
一類,イチルイ
にゅーす,ニュース
ランデブー,ランデブー
武徳,ブトク
コードコンバータ,コードコンバータ
モータ,モータ
調帯,シラベオビ
有識,ユウシキ
しょっぱな,ショッパナ
ソバカス,ソバカス
リカバリ,リカバリ
理容,リヨウ
異体,イタイ
罪障,ザイショウ
音数律,オンスウリツ
人為,ジンイ
継泳,ケイエイ
有期,ユウキ
腹蔵,フクゾウ
キルティング,キルティング
附箋,フセン
山ひだ,ヤマヒダ
残任,ザンニン
代り映え,カワリバエ
い音便,イオンビン
いじわる,イジワル
葦手書き,アシデガキ
椎骨,ツイコツ
葦笛,アシブエ
早少女,サオトメ
弘報,コウホウ
声望,セイボウ
しんこ,シンコ
長刀,ナギナタ
長刀,チョウトウ
生き埋め,イキウメ
方円,ホウエン
庭草,ニワクサ
短躯,タンク
メゾソプラノ,メゾソプラノ
美田,ビデン
拙筆,セッピツ
都,ト
都,ミヤコ
えな,エナ
アラモード,アラモード
小史,ショウシ
咽,ノンド
咽,ノド
停刊,テイカン
商館,ショウカン
トランジスタラジオ,トランジスタラジオ
ひったくり,ヒッタクリ
絽刺し,ロザシ
搗栗,カチグリ
由無し言,ヨシナシゴト
基準言語,キジュンゲンゴ
ガジュマル,ガジュマル
棒高飛,ボウタカトビ
リンチ,リンチ
エノキダケ,エノキダケ
イ音便,イオンビン
安倍川もち,アベカワモチ
虚像,キョゾウ
レプラ,レプラ
思い者,オモイモノ
不精髭,ブショウヒゲ
持国天,ジコクテン
ご存知,ゴゾンジ
塩辛声,シオカラゴエ
貧富,ヒンプ
兵火,ヘイカ
フラットフェア,フラットフェア
二黒,ジコク
華燭の典,カショクノテン
大河,タイガ
種牛,タネウシ
千社参り,センジャマイリ
蜜語,ミツゴ
リセットモード,リセットモード
別名,ベツメイ
とんとん葺き,トントンブキ
ジンフィーズ,ジンフィーズ
好逑,コウキュウ
互恵,ゴケイ
フッ素,フッソ
コンビナート,コンビナート
無断,ムダン
釣り銭,ツリセン
バックトラック,バックトラック
ドブネズミ,ドブネズミ
横手,ヨコデ
横手,ヨコテ
所掌,ショショウ
（社）,シャダンホウジン
ブラザー,ブラザー
コーダ,コーダ
はえ縄,ハエナワ
文鎮,ブンチン
片帆,カタホ
刀工,トウコウ
一番鶏,イチバンドリ
キャプスタン,キャプスタン
蕗の薹,フキノトウ
為様,シザマ
二字口,ニジグチ
訴状,ソジョウ
ぶつ,ブツ
開業医,カイギョウイ
聴音,チョウオン
蔦蔓,ツタカズラ
行装,コウソウ
長姉,チョウシ
血豆,チマメ
メモリハイアラーキ,メモリハイアラーキ
櫃,ヒツ
折れ口,オレクチ
霊草,レイソウ
成行き,ナリユキ
切傷,キリキズ
平皿,ヒラザラ
ヌエ,ヌエ
青柳,アオヤギ
清艷,セイエン
雷獣,ライジュウ
国大,コクダイ
大暑,タイショ
火縄,ヒナワ
もやし,モヤシ
コクテール,コクテール
貴所,キショ
ポット,ポット
丸染,マルゾメ
パリティビット,パリティビット
名声,メイセイ
方式,ホウシキ
ひとりっ子,ヒトリッコ
山河,サンガ
暖簾,ノレン
らい病,ライビョウ
人絹,ジンケン
舟唄,フナウタ
はずれ,ハズレ
製剤,セイザイ
電離層,デンリソウ
菖蒲湯,ショウブユ
晩ネギ,オクネギ
菓子パン,カシパン
面貌,メンボウ
替地,カエチ
われ目,ワレメ
初音,ハツネ
どん欲,ドンヨク
胸きゅん,ムネキュン
日傘,ヒガサ
吠陀,ベーダ
台辞,ダイジ
殺伐,サツバツ
コウシンバラ,コウシンバラ
水際,ミズギワ
あらき,アラキ
ニュース,ニュース
正負,セイフ
初手,ショテ
霊刹,レイサツ
ポルノ,ポルノ
寄り付き,ヨリツキ
アペンディックス,アペンディックス
出来,デキ
クロ,クロ
糠漬,ヌカヅケ
常体,ジョウタイ
飛道具,トビドウグ
天下取,テンカトリ
後件,コウケン
経時,キョウジ
泪,ナミダ
ヒグラシ,ヒグラシ
投げ売り,ナゲウリ
駄々っ子,ダダッコ
赤トウガラシ,アカトウガラシ
う回,ウカイ
同線,ドウセン
顕然,ケンゼン
二の次,ニノツギ
赤ン坊,アカンボウ
虚偽,キョギ
否,イナ
否,ヒ
むかご,ムカゴ
マスカラ,マスカラ
ゲゼルシャフト,ゲゼルシャフト
呱々,ココ
刻限,コクゲン
ゼイ肉,ゼイニク
既達,キタツ
岩船,イワフネ
巻層雲,ケンソウウン
春眠,シュンミン
山狩,ヤマガリ
汚れ,ヨゴレ
汚れ,ケガレ
知謀,チボウ
機,キ
機,ハタ
富鉱,フコウ
しゅもく,シュモク
出張所,シュッチョウショ
出張所,シュッチョウジョ
余震,ヨシン
臨床,リンショウ
すいば,スイバ
隠花植物,インカショクブツ
長夜の宴,チョウヤノエン
選民,センミン
単舎利別,タンシャリベツ
チュートリアル,チュートリアル
民権,ミンケン
米搗き飛蝗,コメツキバッタ
血粉,ケップン
絵具,エノグ
前衛,ゼンエイ
福,フク
高速,コウソク
軍資金,グンシキン
厩肥,ウマヤゴエ
厩肥,キュウヒ
妖言,ヨウゲン
マスゲーム,マスゲーム
東国,トウゴク
天南星,テンナンショウ
既,スンデ
遺伝子,イデンシ
馬飛,ウマトビ
民家,ミンカ
睫毛,マツゲ
泣き別れ,ナキワカレ
深閑,シンカン
ワンサイドゲーム,ワンサイドゲーム
澪標,ミオツクシ
フルーツポンチ,フルーツポンチ
アドホック,アドホック
情愛,ジョウアイ
煙突,エントツ
経口,ケイコウ
霊柩,レイキュウ
敷板,シキイタ
与信,ヨシン
紛れ,マギレ
高専,コウセン
字引,ジビキ
でれ助,デレスケ
おはね,オハネ
胸板,ムナイタ
いたこ,イタコ
学資,ガクシ
婬,イン
飲食料品,インショクリョウヒン
裳,モ
新柄,シンガラ
身心,シンシン
降雪,コウセツ
悪書,アクショ
扉絵,トビラエ
クロスソフトウエア,クロスソフトウエア
スリッパ,スリッパ
薬鋪,ヤクホ
一刀,イットウ
二目,フタメ
マックス,マックス
薄倖,ハッコウ
狭義,キョウギ
思いきり,オモイキリ
宸襟,シンキン
厄,ワザワイ
厄,ヤク
露天風呂,ロテンブロ
切り換え,キリカエ
おろち,オロチ
外祖母,ガイソボ
夕煙,ユウケムリ
卑陋,ヒロウ
密入国,ミツニュウコク
一区切り,ヒトクギリ
拾い歩き,ヒロイアルキ
ディスパッチ,ディスパッチ
穀潰し,ゴクツブシ
桜花,オウカ
こっとう,コットウ
泡,アワ
鯊,ハゼ
自然人,シゼンジン
単線,タンセン
鯉のぼり,コイノボリ
論文,ロンブン
ドンファン,ドンファン
釣魚,チョウギョ
流血,リュウケツ
区役所,クヤクショ
オナラ,オナラ
非運,ヒウン
国書,コクショ
富民,フミン
土佐絵,トサエ
老生,ロウセイ
凱歌,ガイカ
吹抜け,フキヌケ
アスタリスク,アスタリスク
蚤の市,ノミノイチ
操觚,ソウコ
遅遅,チチ
基本形,キホンケイ
戦旗,センキ
バンドネオン,バンドネオン
会規,カイキ
町火消,マチビケシ
原っぱ,ハラッパ
天誅,テンチュウ
宣命,センミョウ
見廻組,ミマワリグミ
障害,ショウガイ
一人娘,ヒトリムスメ
トルコぶろ,トルコブロ
森林,シンリン
巻煙草,マキタバコ
座蒲団,ザブトン
付けひげ,ツケヒゲ
猫被り,ネコカブリ
本舗,ホンポ
ディジスプレイ,ディジスプレイ
表皮,ヒョウヒ
定斎,ジョウサイ
バックグラウンド,バックグラウンド
火筒,ホヅツ
互角,ゴカク
家系,カケイ
家宝,カホウ
針立て,ハリタテ
日頃,ヒゴロ
招電,ショウデン
アンダーシャツ,アンダーシャツ
土蜘蛛,ツチグモ
ケジラミ,ケジラミ
席書き,セキガキ
歩留まり,ブドマリ
イニシアチブ,イニシアチブ
心術,シンジュツ
塁間,ルイカン
服装,フクソウ
目の当り,マノアタリ
左系列,サケイレツ
売残り,ウレノコリ
カントリー,カントリー
自走りゅう弾,ジソウリュウダン
独立独歩,ドクリツドッポ
別誂え,ベツアツラエ
起き上り小法師,オキアガリコボシ
チェレスタ,チェレスタ
遣りっ放し,ヤリッパナシ
蒸器,ムシキ
不思議,フシギ
粗造,ソゾウ
天辺,テッペン
石筆,セキヒツ
ウィーナー,ウィーナー
穴蔵,アナグラ
住込み,スミコミ
手釣り,テヅリ
露天ぶろ,ロテンブロ
水あげ,ミズアゲ
弾,タマ
弾,ダン
ダーク,ダーク
茅,カヤ
礼儀,レイギ
おどけ,オドケ
じつじょう,ジツジョウ
下っ端,シタッパ
つぼ焼き,ツボヤキ
巫術,フジュツ
虚無僧,コムソウ
役替え,ヤクガエ
ノミ,ノミ
衰え,オトロエ
口臭,コウシュウ
閣内,カクナイ
往き,ユキ
年,トシ
年,ネン
ヴィザ,ヴィザ
紗,シャ
英主,エイシュ
漆器,シッキ
パーソナリティー,パーソナリティー
儀仗,ギジョウ
インドホシガメ,インドホシガメ
絖,ヌメ
手斧,テオノ
手斧,チョウナ
俸祿,ホウロク
波乗り,ナミノリ
エコノミスト,エコノミスト
色盲,シキモウ
水もの,ミズモノ
常夏,トコナツ
アトリビュート,アトリビュート
祝言,シュウゲン
ウマゴヤシ,ウマゴヤシ
皆さん,ミナサン
権門,ケンモン
鎮痛,チンツウ
総崩れ,ソウクズレ
ズック,ズック
生菓子,ナマガシ
カラフル,カラフル
近状,キンジョウ
側仕え,ソバヅカエ
宵闇,ヨイヤミ
線,セン
希有,ケウ
拓本,タクホン
煙出し,ケムダシ
距離,キョリ
県土,ケンド
ますこみ,マスコミ
モートル,モートル
わざくれ,ワザクレ
裏作,ウラサク
歯ならび,ハナラビ
ギブアンドテーク,ギブアンドテーク
身繕い,ミヅクロイ
内貸し,ウチガシ
テレフォン,テレフォン
プラザ,プラザ
キャッシュディスペンサ,キャッシュディスペンサ
みみずく,ミミズク
表門,オモテモン
マイコン,マイコン
報道陣,ホウドウジン
隻句,セック
栞,シオリ
支部,シブ
垂れ流し,タレナガシ
ディレクトリ,ディレクトリ
鰐,ワニ
だまし,ダマシ
雑木林,ゾウキバヤシ
不愉快,フユカイ
奇麗事,キレイゴト
仕付け糸,シツケイト
ずい,ズイ
楽天,ラクテン
ぼんくら,ボンクラ
泥炭,デイタン
恟恟,キョウキョウ
月見,ツキミ
グルメ,グルメ
人類,ジンルイ
手間取,テマトリ
底気味,ソコキミ
本堂,ホンドウ
ポスター,ポスター
割り印,ワリイン
ひよめき,ヒヨメキ
脳外科,ノウゲカ
焼け山,ヤケヤマ
祠,ホコラ
寒,カン
判任官,ハンニンカン
ラオ,ラオ
ハモ,ハモ
レベル,レベル
側部,ソクブ
容易軸,ヨウイジク
お召し物,オメシモノ
焚付,タキツケ
でたらめ,デタラメ
出店,デミセ
メーン,メーン
葬祭,ソウサイ
山帰来,サンキライ
レディーファースト,レディーファースト
蝦,エビ
翠黛,スイタイ
春蚕,シュンサン
春蚕,ハルゴ
ギボシ,ギボシ
辻斬,ツジギリ
籐椅子,トウイス
霊境,レイキョウ
寝乱れ髪,ネミダレガミ
拙宅,セッタク
サイド,サイド
初感染,ショカンセン
スクール,スクール
マイクロプロセッサ,マイクロプロセッサ
木端微塵,コッパミジン
偽札,ニセサツ
揉み上げ,モミアゲ
一すじ,ヒトスジ
小勢,コゼイ
お談義,オダンギ
野球,ヤキュウ
親ゆずり,オヤユズリ
ほぞの緒,ホゾノオ
ラーゲル,ラーゲル
権幕,ケンマク
金メダル,キンメダル
一人っ子,ヒトリッコ
国費,コクヒ
夕つ方,ユウツカタ
ぶっ続け,ブッツヅケ
食尽,ショクジン
蓆,ムシロ
仕込み,シコミ
油送船,ユソウセン
降順,コウジュン
清福,セイフク
だし,ダシ
損亡,ソンモウ
河川,カセン
博学,ハクガク
鴾毛,ツキゲ
菲才,ヒサイ
難局,ナンキョク
枯木,カレキ
失敗談,シッパイダン
士民,シミン
梅漬け,ウメヅケ
しり下がり,シリサガリ
カフェ・オ・レ,カフェオレ
絆創膏,バンソウコウ
祝意,シュクイ
衷心,チュウシン
万象,バンショウ
消防,ショウボウ
衣紋竿,エモンザオ
終り初物,オワリハツモノ
手車,テグルマ
在校生,ザイコウセイ
稜々,リョウリョウ
深切気,シンセツギ
吶吶,トツトツ
門歯,モンシ
商船,ショウセン
亜麻,アマ
摩,マ
長文,チョウブン
引切りなし,ヒッキリナシ
隆鼻術,リュウビジュツ
料地,リョウチ
荒唐無稽,コウトウムケイ
骨髄,コツヅイ
先箱,サキバコ
カイメンドウブツ,カイメンドウブツ
土気,ツチケ
重陽,チョウヨウ
又貸し,マタガシ
初鰹,ハツガツオ
歩き,アルキ
サトイモ,サトイモ
銘銘皿,メイメイザラ
田打,タウチ
婦人,フジン
翌翌年,ヨクヨクネン
晒飴,サラシアメ
一役,ヒトヤク
本性,ホンショウ
後向き,ウシロムキ
効きめ,キキメ
瑕疵,カシ
分引き,ブビキ
社歴,シャレキ
成獣,セイジュウ
尻,シリ
枕頭,チントウ
粗造り,アラヅクリ
急使,キュウシ
製品,セイヒン
矩尺,カネジャク
矩尺,カネザシ
前々,マエマエ
ヘルプ,ヘルプ
春分,シュンブン
ざる碁,ザルゴ
部屋住,ヘヤズミ
惰眠,ダミン
初舞台,ハツブタイ
道心,ドウシン
香典,コウデン
パラレル,パラレル
ブギ,ブギ
ねぶた,ネブタ
熱湯,ネットウ
雑曲,ザッキョク
薊,アザミ
不信,フシン
ロードポイント,ロードポイント
効,コウ
振出,フリダシ
積乱雲,セキランウン
粒状,リュウジョウ
乾期,カンキ
腸線,チョウセン
カリフ,カリフ
元老,ゲンロウ
三つ指,ミツユビ
公立大,コウリツダイ
手風琴,テフウキン
心証,シンショウ
黒衣,コクイ
黒衣,クロゴ
当り箱,アタリバコ
ホープ,ホープ
肘鉄砲,ヒジデッポウ
亜砒酸,アヒサン
りん病,リンビョウ
人交わり,ヒトマジワリ
将器,ショウキ
月齢,ゲツレイ
ダムダム弾,ダムダムダン
拾い物,ヒロイモノ
リアリティー,リアリティー
晴天,セイテン
魂祭,タママツリ
コバルトブルー,コバルトブルー
ショー,ショー
家族あわせ,カゾクアワセ
譚歌,タンカ
剛勇,ゴウユウ
正当,セイトウ
無常,ムジョウ
クローク,クローク
不釣合,フツリアイ
送りがな,オクリガナ
本曇,ホングモリ
同苗,ドウミョウ
こめかみ,コメカミ
もらい乳,モライチチ
休,キュウ
あて先,アテサキ
分社,ブンシャ
ウインカー,ウインカー
実技,ジツギ
枯れ尾花,カレオバナ
きな粉,キナコ
カイコ,カイコ
春季,シュンキ
木末,コヌレ
愛想,アイソ
水差し,ミズサシ
芥,ゴミ
芥,アクタ
方忌み,カタイミ
ダイコン,ダイコン
ピース,ピース
大葬,タイソウ
平方根,ヘイホウコン
補題,ホダイ
屋台囃子,ヤタイバヤシ
幕藩時代,バクハンジダイ
試論,シロン
権威,ケンイ
助詞,ジョシ
低廉,テイレン
気密,キミツ
りす,リス
挽臼,ヒキウス
ジバン,ジバン
前書,マエガキ
前書,ゼンショ
やっちゃ場,ヤッチャバ
アフォリズム,アフォリズム
切要,セツヨウ
迎い,ムカイ
田圃,タンボ
三段跳,サンダントビ
後遺症,コウイショウ
まんぼう,マンボウ
異腹,イフク
段違い,ダンチガイ
例月,レイゲツ
上級生,ジョウキュウセイ
初口,ショクチ
私文書,シブンショ
潤沢,ジュンタク
廷吏,テイリ
真赤,マッカ
和洋,ワヨウ
巷間,コウカン
得意顔,トクイガオ
有名ブランド,ユウメイブランド
ワンゲル,ワンゲル
鳴物入,ナリモノイリ
きのこ,キノコ
男児,ダンジ
笑い種,ワライグサ
足腰,アシコシ
不摂生,フセッセイ
四極,ヨンキョク
当来,トウライ
可変長,カヘンチョウ
良辰,リョウシン
ばつ,バツ
夢まくら,ユメマクラ
便々,ベンベン
番手,バンテ
フェミニズム,フェミニズム
テラゾー,テラゾー
比価,ヒカ
飾りもの,カザリモノ
歯根,シコン
税別,ゼイベツ
壷皿,ツボザラ
一生面,イチセイメン
バッテリバックアップ,バッテリバックアップ
覇道,ハドウ
耳鳴り,ミミナリ
賦金,フキン
東屋,アズマヤ
直押し,ヒタオシ
はとこ,ハトコ
真偽,シンギ
書翰箋,ショカンセン
旗行列,ハタギョウレツ
鉢,ハチ
継立て,ツギタテ
立花,リッカ
人才,ジンサイ
図体,ズウタイ
求め,モトメ
クラウン,クラウン
轍,テツ
轍,ワダチ
卜者,ボクシャ
荘厳,ソウゴン
宮門,キュウモン
潮干,シオヒ
持主,モチヌシ
底ひ,ソコヒ
端金,ハシタガネ
みょうが,ミョウガ
留め立て,トメダテ
選手,センシュ
竜眼肉,リュウガンニク
兵籍,ヘイセキ
ボディービル,ボディービル
初会,ショカイ
古泉,コセン
高野,コウヤ
起承転結,キショウテンケツ
快方,カイホウ
抜けがけ,ヌケガケ
無人島,ムジントウ
信天翁,アホウドリ
小名,ショウミョウ
心臓,シンゾウ
商,ショウ
第二義,ダイニギ
学園,ガクエン
笹折,ササオリ
大橋,オオハシ
鏡面,キョウメン
外郎,ウイロウ
膝蓋骨,シツガイコツ
幣,ヌサ
心棒,シンボウ
イージーオーダー,イージーオーダー
人代名詞,ジンダイメイシ
目正月,メショウガツ
ニンドウ,ニンドウ
暴民,ボウミン
次点,ジテン
手長,テナガ
心筋,シンキン
婆さん,バアサン
中日,チュウニチ
中日,ナカビ
煤埃,ススホコリ
弱酸,ジャクサン
豚舎,トンシャ
目前,モクゼン
不義,フギ
所長,ショチョウ
正統,セイトウ
婉然,エンゼン
移り香,ウツリガ
暖冬,ダントウ
怫然,フツゼン
腸詰,チョウヅメ
おわん,オワン
一両日,イチリョウジツ
素性,スジョウ
ミッション,ミッション
語呂合せ,ゴロアワセ
インクライン,インクライン
蓑笠,ミノカサ
肺癆,ハイロウ
手拭地,テヌグイジ
初級,ショキュウ
柾,マサキ
利き手,キキテ
祟,タタリ
初乗り,ハツノリ
跡地,アトチ
僧官,ソウカン
重苦,ジュウク
美学,ビガク
直会,ナオライ
固有ベクトル,コユウベクトル
季秋,キシュウ
びら,ビラ
邪欲,ジャヨク
月経,ゲッケイ
力業,チカラワザ
訳者,ヤクシャ
車井戸,クルマイド
赤剥け,アカムケ
立待月,タチマチノツキ
ふくら脛,フクラハギ
青酸カリ,セイサンカリ
家来,ケライ
草創,ソウソウ
遊郭,ユウカク
水損,スイソン
ジャカード,ジャカード
鬼灯提灯,ホオズキヂョウチン
終車,シュウシャ
ナギ,ナギ
大悲,ダイヒ
人道,ジンドウ
草葺き,クサブキ
高飛び込み,タカトビコミ
空閨,クウケイ
わかめ,ワカメ
モンスーン,モンスーン
区史,クシ
醜悪,シュウアク
古筆,コヒツ
右腕,ウワン
右腕,ミギウデ
駄々,ダダ
社用,シャヨウ
猿おがせ,サルオガセ
研ぎ出し,トギダシ
脱硝,ダツショウ
襟章,エリショウ
小道,コミチ
棋風,キフウ
旧離,キュウリ
レーンコート,レーンコート
エア,エア
打席,ダセキ
青山,アオヤマ
青山,セイザン
野史,ヤシ
さる,サル
御製,ギョセイ
嵌め込み,ハメコミ
金肥,キンピ
金肥,カネゴエ
見立て,ミタテ
軍略,グンリャク
初対面,ショタイメン
旧怨,キュウエン
発頭人,ホットウニン
縦陣,ジュウジン
打毀し,ウチコワシ
古び,フルビ
恋歌,コイウタ
恋歌,レンカ
恋歌,コイカ
首切り,クビキリ
近業,キンギョウ
路次,ロジ
櫟,クヌギ
櫟,イチイ
動機,ドウキ
家捜し,ヤサガシ
賭,カケ
官民,カンミン
ベスト,ベスト
札付,フダツキ
園丁,エンテイ
と金,トキン
じょうふ,ジョウフ
定量,テイリョウ
扱い高,アツカイダカ
詭弁,キベン
オリンピック,オリンピック
ぬめり,ヌメリ
義侠,ギキョウ
イギリスポンド,イギリスポンド
かざり職,カザリショク
心意気,ココロイキ
黄な粉,キナコ
ぶどう糖,ブドウトウ
アイスバーン,アイスバーン
満艦飾,マンカンショク
愉楽,ユラク
仔細,シサイ
尺,シャク
孟秋,モウシュウ
じょじ,ジョジ
暮雪,ボセツ
兄嫁,アニヨメ
きんきじゃくやく,キンキジャクヤク
同型,ドウケイ
皺寄せ,シワヨセ
サムライ,サムライ
まひる,マヒル
随一,ズイイチ
白鞘,シラサヤ
姫小松,ヒメコマツ
草摺,クサズリ
寸描,スンビョウ
シャケ,シャケ
アロハシャツ,アロハシャツ
背戸,セド
天守,テンシュ
側帯,ソクタイ
名工,メイコウ
金婚式,キンコンシキ
教権,キョウケン
花期,カキ
ダダ,ダダ
千言,センゲン
作り話,ツクリバナシ
カゼイン,カゼイン
次世代,ジセダイ
顔役,カオヤク
夜盗虫,ヨトウムシ
櫛目,クシメ
ＳＦ,エスエフ
酔態,スイタイ
五根,ゴコン
かんきつ類,カンキツルイ
やり直し,ヤリナオシ
助惣鱈,スケソウダラ
めっかち,メッカチ
コイル,コイル
掴みどころ,ツカミドコロ
綴り,ツヅリ
千姿万態,センシバンタイ
法悦,ホウエツ
きちょー,キチョー
立ち消え,タチギエ
質券,シチケン
霊神,レイジン
ユニオンショップ,ユニオンショップ
トースター,トースター
小智,ショウチ
無駄骨,ムダボネ
壮挙,ソウキョ
白旗,シラハタ
白旗,ハッキ
スタンガン,スタンガン
特捜,トクソウ
進み,ススミ
殊勲賞,シュクンショウ
血目,チメ
曲線,キョクセン
遣外,ケンガイ
貸家,カシヤ
戸籍,コセキ
死刑,シケイ
天変,テンペン
平野,ヘイヤ
姉妹,シマイ
加水,カスイ
留鳥,リュウチョウ
さざれ,サザレ
和衷,ワチュウ
じっかい,ジッカイ
ファンクション,ファンクション
労使,ロウシ
多汗症,タカンショウ
繰り言,クリゴト
コンタクトレンズ,コンタクトレンズ
暴挙,ボウキョ
月偏,ツキヘン
片辺,カタホトリ
柁,カジ
陰陽,インヨウ
体裁,テイサイ
マニラアサ,マニラアサ
膝組み,ヒザグミ
キャラクトロン,キャラクトロン
学区,ガック
スギ,スギ
一辺,イッペン
首府,シュフ
曲譜,キョクフ
小爪,コヅメ
しぶき,シブキ
眉根,マユネ
皮具,カワグ
本圃,ホンポ
食生活,ショクセイカツ
灯蛾,トウガ
受け口,ウケグチ
吸いかけ,スイカケ
明朝体,ミンチョウタイ
賎の男,シズノヲ
セーブポイント,セーブポイント
経堂,キョウドウ
しゃくり泣き,シャクリナキ
自尊,ジソン
水溶き,ミズトキ
羽団扇,ハウチワ
手ぬかり,テヌカリ
バー,バー
もち菓子,モチガシ
艷容,エンヨウ
目配せ,メクバセ
柚子,ユズ
せり,セリ
哲理,テツリ
絹織物,キヌオリモノ
船待ち,フナマチ
ノルディック,ノルディック
孝女,コウジョ
奥山,オクヤマ
成年,セイネン
御霊,ミタマ
仇情,アダナサケ
艦,カン
バージョンアップ,バージョンアップ
荒縄,アラナワ
底引き,ソコビキ
憂き目,ウキメ
地相,チソウ
りゅう,リュウ
手作業,テサギョウ
くちばし,クチバシ
角速度,カクソクド
仕方咄,シカタバナシ
初刊,ショカン
洗い浚い,アライザライ
情炎,ジョウエン
空き店,アキダナ
略解,リャッカイ
略解,リャクカイ
名ごり,ナゴリ
廷臣,テイシン
魯鈍,ロドン
ハーケン,ハーケン
監獄,カンゴク
目板,メイタ
村落,ソンラク
カンツバキ,カンツバキ
ポンド,ポンド
ドリア,ドリア
盧遮那,ルシャナ
茶箪笥,チャダンス
民心,ミンシン
別格,ベッカク
筆,フデ
雪洞,ボンボリ
雪洞,セツドウ
節榑,フシクレ
野蒜,ノビル
粽,チマキ
精のう,セイノウ
伽藍,ガラン
透水,トウスイ
片身,カタミ
かたず,カタズ
胴回り,ドウマワリ
夜警,ヤケイ
中啓,チュウケイ
山相,サンソウ
珍籍,チンセキ
ケロイド,ケロイド
静けし,シズケシ
様子,ヨウス
千分比,センブンヒ
パパイア,パパイア
荒法師,アラホウシ
南都,ナント
公印,コウイン
サーチ,サーチ
チサ,チサ
小柄,コヅカ
小柄,コガラ
吉相,キッソウ
一片,イッペン
カナリア,カナリア
義軍,ギグン
砂絵,スナエ
妻女,サイジョ
所伝,ショデン
ジヒシンチョウ,ジヒシンチョウ
待ち伏せ,マチブセ
張抜き,ハリヌキ
地内,ジナイ
浄域,ジョウイキ
秘書官,ヒショカン
基,モト
基,キ
基,モトイ
決死,ケッシ
高祖,コウソ
墨書き,スミガキ
食分,ショクブン
盗み読み,ヌスミヨミ
エスカレーター,エスカレーター
工場,コウジョウ
工場,コウバ
労作,ロウサク
茶の子,チャノコ
冤罪,エンザイ
手回り,テマワリ
一次局,イチジキョク
ジョイント,ジョイント
揚り屋,アガリヤ
摂政,セッショウ
瘢痕,ハンコン
崇高,スウコウ
類火,ルイカ
キニーネ,キニーネ
繁華,ハンカ
本場,ホンバ
コンセプト,コンセプト
気まぐれ,キマグレ
ものごい,モノゴイ
妖女,ヨウジョ
汐見,シオミ
サンデー,サンデー
美果,ビカ
金泥,キンデイ
金泥,コンデイ
人命,ジンメイ
例会,レイカイ
在りかた,アリカタ
歌心,ウタゴコロ
あきたこまち,アキタコマチ
紅白,コウハク
流弊,リュウヘイ
ワカメ,ワカメ
きなこ,キナコ
雨間,アマアイ
切り返し,キリカエシ
無声,ムセイ
缺員,ケツイン
友禅,ユウゼン
薦垂れ,コモダレ
初陣,ウイジン
月忌,ガッキ
所論,ショロン
生死,セイシ
歿年,ボツネン
称え,トナエ
王座,オウザ
ブランド,ブランド
公会,コウカイ
園児,エンジ
ラプラシアン,ラプラシアン
ミネラル,ミネラル
北側,キタガワ
守将,シュショウ
他流,タリュウ
汚泥,オデイ
スポンサ,スポンサ
座薬,ザヤク
分外,ブンガイ
他者,タシャ
労務,ロウム
大経師,ダイキョウジ
賊臣,ゾクシン
コンビニエンスストア,コンビニエンスストア
前歴,ゼンレキ
ドリアン,ドリアン
二科展,ニカテン
ウェア,ウェア
ハマ,ハマ
呼値,ヨビネ
カワズ,カワズ
夜霧,ヨギリ
硝煙,ショウエン
熱涙,ネツルイ
知慮,チリョ
蒸し物,ムシモノ
続き,ツヅキ
掌,テノヒラ
掌,タナゴコロ
弾痕,ダンコン
ほころび,ホコロビ
利付き,リツキ
モンキー,モンキー
モリブデン,モリブデン
うらはら,ウラハラ
旅商い,タビアキナイ
宿善,シュクゼン
クリヤー,クリヤー
疏水,ソスイ
プチブル,プチブル
浮き世,ウキヨ
強権,キョウケン
ひとつぶ,ヒトツブ
楼門,ロウモン
地雷,ジライ
正規,セイキ
シンメトリー,シンメトリー
礼回り,レイマワリ
野外,ヤガイ
やや,ヤヤ
深々,シンシン
ジギタリス,ジギタリス
伸し,ノシ
味噌汁,ミソシル
根無し言,ネナシゴト
絞り染め,シボリゾメ
塒,ネグラ
塒,トヤ
正調,セイチョウ
机上,キジョウ
早年,ソウネン
ホンゾウガク,ホンゾウガク
初段,ショダン
掛篭,カケゴ
木蓮,モクレン
マルセル石鹸,マルセルセッケン
魚道,ギョドウ
ろくでなし,ロクデナシ
ももんじい,モモンジイ
合い印,アイイン
弄火,ロウカ
乗り場,ノリバ
屋内,オクナイ
二重瞼,フタエマブタ
内儀,ナイギ
鉄索,テッサク
ご時世,ゴジセイ
抱合せ,ダキアワセ
外堀,ソトボリ
檣楼,ショウロウ
むしろ,ムシロ
瑣末,サマツ
全店,ゼンテン
全集,ゼンシュウ
金縛り,カナシバリ
