やぼったい,ヤボッタイ
ちっさい,チッサイ
じまんたらしい,ジマンタラシイ
いけ図々しい,イケズウズウシイ
おもくるしい,オモクルシイ
くるわしい,クルワシイ
瑞瑞しい,ミズミズシイ
勘定高い,カンジョウダカイ
せん無い,センナイ
情け深い,ナサケブカイ
はかない,ハカナイ
畏い,カシコイ
荒い,アライ
真新しい,マアタラシイ
ことごとしい,コトゴトシイ
馬鹿臭い,バカクサイ
見易い,ミヤスイ
凄まじい,スサマジイ
気むずかしい,キムズカシイ
めまぐるしい,メマグルシイ
名残惜しい,ナゴリオシイ
なさけない,ナサケナイ
やばい,ヤバイ
目ざとい,メザトイ
うたがわしい,ウタガワシイ
痛ましい,イタマシイ
捗ばかしい,ハカバカシイ
頼もしい,タノモシイ
かっこいー,カッコイイ
日向臭い,ヒナタクサイ
つらい,ツライ
似あわしい,ニアワシイ
香しい,カグワシイ
もろい,モロイ
はがゆい,ハガユイ
あえ無い,アエナイ
馬鹿らしい,バカラシイ
片腹痛い,カタハライタイ
せんない,センナイ
こづらにくい,コヅラニクイ
甘ちょろい,アマチョロイ
由由しい,ユユシイ
あつくるしい,アツクルシイ
気だるい,ケダルイ
芳ばしい,コウバシイ
雄おしい,オオシイ
せわしい,セワシイ
血腥い,チナマグサイ
しんどい,シンドイ
ちかい,チカイ
ほこらしい,ホコラシイ
えがらっぽい,エガラッポイ
抜がたい,ヌキガタイ
憎憎しい,ニクニクシイ
ねたい,ネタイ
永い,ナガイ
若若しい,ワカワカシイ
偉い,エライ
茶色い,チャイロイ
手ぬるい,テヌルイ
黴臭い,カビクサイ
見やすい,ミヤスイ
軽い,カルイ
あまちょろい,アマチョロイ
ずうずうしい,ズウズウシイ
何気無い,ナニゲナイ
仰仰しい,ギョウギョウシイ
貴い,トウトイ
貴い,タットイ
おもはゆい,オモハユイ
腹立たしい,ハラダタシイ
うしろぐらい,ウシログライ
にくい,ニクイ
おしつけがましい,オシツケガマシイ
訝しい,イブカシイ
いたたまれない,イタタマレナイ
用心深い,ヨウジンブカイ
儚い,ハカナイ
心づよい,ココロヅヨイ
いまいましい,イマイマシイ
つちくさい,ツチクサイ
つべたい,ツベタイ
居た堪らない,イタタマラナイ
疑い深い,ウタガイブカイ
待ち遠しい,マチドオシイ
おもんない,オモンナイ
洽い,アマネイ
こはずかしい,コハズカシイ
妬ましい,ネタマシイ
あほらしい,アホラシイ
悲しい,カナシイ
土臭い,ツチクサイ
ふがいない,フガイナイ
太い,フトイ
耐難い,タエガタイ
しどけない,シドケナイ
おしい,オシイ
気持ち良い,キモチヨイ
ちゅういぶかい,チュウイブカイ
刺々しい,トゲトゲシイ
ねちっこい,ネチッコイ
青い,アオイ
口惜しい,クチオシイ
口惜しい,クヤシイ
分別臭い,フンベツクサイ
おもたい,オモタイ
けむい,ケムイ
あさましい,アサマシイ
初々しい,ウイウイシイ
いじましい,イジマシイ
夥しい,オビタダシイ
ちちくさい,チチクサイ
だだっ広い,ダダッピロイ
縁遠い,エンドオイ
むつまじい,ムツマジイ
イイ,イイ
優しい,ヤサシイ
薄寒い,ウスラサムイ
姦しい,カシマシイ
手あつい,テアツイ
すいたらしい,スイタラシイ
スッぱい,スッパイ
やむ無い,ヤムナイ
こころよい,ココロヨイ
聞づらい,キキヅライ
心弱い,ココロヨワイ
きやすい,キヤスイ
ほろにがい,ホロニガイ
すい,スイ
あしい,アシイ
聞ぐるしい,キキグルシイ
人懐っこい,ヒトナツッコイ
疚しい,ヤマシイ
ちかしい,チカシイ
ものおそろしい,モノオソロシイ
ちゃんちゃらおかしい,チャンチャラオカシイ
かっこいい,カッコイイ
やんごとない,ヤンゴトナイ
照れ臭い,テレクサイ
きめこまかい,キメコマカイ
捗々しい,ハカバカシイ
てがたい,テガタイ
重々しい,オモオモシイ
にんげんらしい,ニンゲンラシイ
くだくだしい,クダクダシイ
たいそうらしい,タイソウラシイ
のろくさい,ノロクサイ
すがすがしい,スガスガシイ
ナウい,ナウイ
ねばっこい,ネバッコイ
重い,オモイ
異い,アヤイ
薄暗い,ウスグライ
荒っぽい,アラッポイ
由無い,ヨシナイ
