こうとうくんこく,10.072147622571457
こころのおくそこ,9.811035996992988
うそくつうこう,8.851291470791104
みもこころもとろけるよう,8.722146603862791
ここのところ,7.976194500443611
そうおんうんてんとう,7.9153127587672465
こうおつへいてい,7.818777837074597
つうこんのおもい,7.719470916668338
とうろくとうもんかい,7.693537019080468
とうこうせいてい,7.650471324949839
もんもんとする,7.528035533851526
うつうつとする,7.5218979452547785
ていけいてき,7.500555655673469
こうこつとする,7.443412798530612
よんよんよんせい,7.390330959208639
ていせいてき,7.3576985128163255
すもうコント,7.2868157165844405
せいれいけいねつ,7.27097322454888
てきせいせい,7.26175953063721
とうろくふよう,7.235310180224813
そうこうこん,7.195948862655898
しんこうほうこう,7.1389172152568765
おもうところ,7.136796299170553
つうふうこう,7.080472239889776
ししえいえい,7.077895582224466
へいせいをよそおう,7.053823736523043
ほくほくとう,6.948464021754627
とうほくとう,6.892114203963768
そうこうする,6.878960362433954
もうろうとする,6.841928064816855
もうろくする,6.710653850309196
とうようふう,6.7027995498535775
そしききんこうろん,6.671784515070947
こころもよう,6.62270279402837
のほほんと,6.606590881364681
ゆうこうこく,6.457518341207425
とりひきりえき,6.437069321835947
ちいきてき,6.401438313150425
こんこんと,6.39218129651018
こうのもの,6.360364415048412
みちみちている,6.352572034649269
きりにほうおう,6.333607375433366
そもそもろん,6.294677140653626
ピキピキ,6.239258794842236
ちいきせい,6.220876595650395
といちいちにし,6.200704911194155
ほうこうおんち,6.186269941387755
とつとつと,6.177895582224465
けしいんゆうこう,6.168260091561428
きめいしき,6.166104134516749
ふんとうする,6.15545911098947
つつむこう,6.13516230993611
ふゆうこく,6.091908647402968
にしきいし,6.063213348262752
こくこくと,6.063213348262752
プチせいけい,6.035683946209228
せいけいメイク,6.025459249744398
そうこうのつま,5.9955523429799
せいてんのへきれき,5.951504291642348
こうこうと,5.928946912635997
そもそもの,5.9162951875847245
とうとうと,5.89218129651018
ようすいけいせいき,5.876723591867413
じんこうこううそうち,5.872952471345047
ピストンゆそう,5.789183107775154
よんほうろ,5.773834564403582
ふううんのこころざし,5.740140533476712
ほうもつこ,5.732462155260195
こころのそこから,5.727788269696213
いきいきこうもんさま,5.723930405288852
るいせきりえき,5.637192818846552
うれしいひめい,5.631959810668615
むそうする,5.62688768241804
ふようろん,5.608566335263341
ソロモンおき,5.59628574493617
こころよくおもわない,5.584658705844896
むようのよう,5.569140799387979
むとうかそうこう,5.55351099316634
ぴかいちいちにし,5.551936159029997
オヨヨそうどう,5.540164237397697
しちじのほうこう,5.534072710666369
もくもくと,5.533469929334271
いちじのほうこう,5.47489934461307
へいきんふうそく,5.392881391653711
みをひきしめる,5.374922778441339
いちいてきな,5.369351641954799
こころよく,5.365556741206776
ろうろうと,5.32285538590467
ししにひれ,5.320123314242505
ナポリをみてしね,5.312138584022954
こうおんこうしつしけんそうち,5.310009148421505
みのほそるおもい,5.291908647402968
みちみちて,5.290067151957319
エピペン,5.247417515311382
つきめいにち,5.234559902162193
むくつけきおとこ,5.233823495387426
むきめいしき,5.2232469916596065
うとそうそう,5.209272402617307
ゆそうようきき,5.203264511528399
おうぼようこう,5.196368136023482
オロオロする,5.192097660867762
きをひきしめる,5.180708203807569
トトロのもり,5.1752626655401075
せいけんふよう,5.165604065217957
レモンソルト,5.149664040751806
ほんのすこし,5.144866616156154
こうこうど,5.128946912635996
このころ,5.11044439297436
けいけんほうふ,5.099724581679641
とうりせいけい,5.097253424760755
せんとうふのう,5.084179795081584
おもうところなし,5.077226413441254
つうこうろ,5.059465214475448
いきようようと,5.042999595081729
みにしみて,5.036192273283348
こうのうど,5.017929176819168
ことよろ,5.017547030135376
ほうほうのてい,5.016295187584725
そうこうしている,5.015725978559772
いえいえ,5.01044439297436
うみのものともやまのものともつかない,5.008148779975911
えいせいひ,5.005291824760104
ようそうをていする,4.99667612936213
おおよそ,4.933863253331533
おおそよ,4.933863253331533
コロコロ,4.933863253331533
ホルホル,4.924730107260075
ゆうゆうと,4.919577539045819
トロントロン,4.917285894692212
ひととおりめをとおす,4.906384993266764
ふほうこうい,4.90240599297501
せいねんそう,4.895343450063486
にきりみりん,4.844717360635467
とこうそう,4.84056937081655
いをつよくする,4.832529393251752
りようようと,4.805295020438841
イケイケ,4.796158678688646
こほうそう,4.7832772581530065
こんとん,4.781872964402932
ふとくのいたすところ,4.779801312316399
りりしい,4.776720396188676
れんぞくとうこうきせい,4.776483931031974
トンコツ,4.76501096601009
おうおうにして,4.752508496479504
しあいけいしき,4.751478533132266
いえいれ,4.749240518010619
こんそん,4.748148967617247
たもくてきえいせい,4.727639014175527
ほんこう,4.7226995983496325
きんのうとう,4.711459396810127
トントン,4.71044439297436
とつとつ,4.71044439297436
おうおう,4.71044439297436
えんおうこう,4.7082038138465805
おいしいところ,4.7061943616886825
おんこう,4.70583759995679
もちろんのこと,4.669744825275183
コツコツ,4.659858397795833
せいれいし,4.659465214475449
けいえいがいりえき,4.651797261695555
ふつふつと,4.637843831188736
こうおん,4.634409028528219
せいせいえん,4.614841115774594
そつこん,4.613360564180256
ちいきし,4.608413884063918
とんよう,4.605291824760105
うんうんかんぬん,4.5928695458427224
おんよう,4.588429826367262
いいきみ,4.5873654197159555
しようようと,4.582216047180437
こうこつ,4.5752356624749195
いちにし,4.565160221530776
ようとする,4.562434681902962
むようの,4.56000765331652
イレシネ,4.555797379974949
るいせきけいこく,4.549324153653037
いきちし,4.54557268351012
おくそく,4.532924294814462
けんとうする,4.5231434420368135
とうこう,4.52066908943919
ほこうとくせい,4.519876050087191
